datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2022-07-01 09:15:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15685,15685,15651,15656.6,282150,11289050,0
2022-07-01 09:16:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15658.25,15664.95,15650,15664.95,170300,11289050,1
2022-07-01 09:17:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15665.55,15667.05,15658.2,15662.55,110400,11353450,2
2022-07-01 09:18:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15663,15674.75,15658,15671,104750,11353450,3
2022-07-01 09:19:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15673,15679.95,15668.15,15669.45,86200,11353450,4
2022-07-01 09:20:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15666.85,15675,15661.35,15665.65,76150,11470050,5
2022-07-01 09:21:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15667.85,15671.2,15662.05,15668.55,46300,11470050,6
2022-07-01 09:22:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15669.4,15669.4,15663,15665.55,65400,11470050,7
2022-07-01 09:23:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15666.65,15680,15665,15676.8,57850,11506100,8
2022-07-01 09:24:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15679.4,15695,15676.85,15692.7,95250,11506100,9
2022-07-01 09:25:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15693.6,15697.95,15684,15684,60450,11506100,10
2022-07-01 09:26:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15684.6,15685.45,15677.4,15679.8,56050,11546150,11
2022-07-01 09:27:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15679.8,15682.7,15667.6,15670,81100,11546150,12
2022-07-01 09:28:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15670.5,15673.1,15660.05,15670,67000,11546150,13
2022-07-01 09:29:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15669.95,15670,15663.15,15665.5,38400,11643800,14
2022-07-01 09:30:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15664.45,15668.2,15660,15666.9,48450,11643800,15
2022-07-01 09:31:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15665.15,15675,15662.55,15671.7,29150,11643800,16
2022-07-01 09:32:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15672.8,15675,15666.55,15672.95,37600,11683000,17
2022-07-01 09:33:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15672.95,15679.9,15672.5,15675.8,33950,11683000,18
2022-07-01 09:34:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15673.3,15682,15670.25,15681.85,36600,11683000,19
2022-07-01 09:35:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15681.55,15681.55,15670.1,15671.65,35600,11737000,20
