feature,gain
total_OI_change_mean,2.960977554321289
ema_15_mean,2.6997287273406982
total_OI_change_last,2.563401699066162
ema_5_last,2.2996859550476074
ema_15_last,2.258916139602661
volatility_std,2.217742681503296
volatility_last,2.179060935974121
return_mean,2.163452386856079
ema_15_std,2.148756742477417
return_last,2.109619140625
ema_5_mean,2.0802741050720215
ema_5_std,1.992871880531311
volatility_mean,1.8712177276611328
regime_pnl_mean,1.857908010482788
total_OI_change_std,1.665468454360962
return_std,1.6631226539611816
regime_pnl_std,0.8324592709541321
