entry_date,trades,daily_pnl,daily_winrate
2022-07-01,3,-1326.5356611731409,0.0
2022-07-04,3,-2895.2432664676226,0.0
2022-07-05,2,149.44855334307658,0.5
2022-07-06,2,-563.0353885217128,0.0
2022-07-07,5,-1564.6104932831145,0.0
2022-07-08,3,-693.3326455191177,0.0
2022-07-11,4,-731.1009997467786,0.0
2022-07-12,3,-836.3268077710205,0.3333333333333333
2022-07-13,2,180.56529726499843,0.5
2022-07-14,3,-21.376146117501605,0.6666666666666666
2022-07-15,4,-2132.356948695483,0.0
2022-07-18,2,-1539.4593600338944,0.0
2022-07-19,3,-829.8046751127622,0.0
2022-07-20,3,-221.228140714945,0.3333333333333333
2022-07-21,2,-310.1327613309054,0.0
2022-07-22,5,-1236.6001411881557,0.0
2022-07-25,4,433.9574834735111,0.5
2022-07-26,1,67.44550144383804,1.0
2022-07-27,2,-452.9562200279033,0.0
2022-07-28,1,-338.4504941831362,0.0
2022-07-29,3,-736.5901745519419,0.0
2022-08-01,2,-315.3387184156308,0.0
2022-08-02,4,-895.5929434724202,0.0
2022-08-03,3,-596.3082088167229,0.3333333333333333
2022-08-04,3,-1989.4656599431235,0.3333333333333333
2022-08-05,6,-1744.7623022363332,0.0
2022-08-08,4,-1225.8423135169037,0.0
2022-08-10,5,-1467.119248746559,0.0
2022-08-11,6,-1811.809990791957,0.0
2022-08-12,3,-1539.9552146927174,0.0
2022-08-16,4,-2982.2008743556476,0.0
2022-08-17,3,-1504.6817548035128,0.0
2022-08-18,3,-1102.9456956752088,0.0
2022-08-19,5,83.7420939311396,0.4
2022-08-22,2,163.42268794022567,0.5
2022-08-23,3,-752.157492753441,0.0
2022-08-24,3,-2238.85285572273,0.0
2022-08-25,3,-774.4743343170994,0.3333333333333333
2022-08-26,3,1382.7515414302654,0.3333333333333333
2022-08-29,3,-721.2971875296666,0.0
2022-09-01,4,-1880.9796412057153,0.25
2022-09-02,5,-1073.7942180369914,0.0
2022-09-05,3,-462.02481291726514,0.0
2022-09-06,3,351.67530302122617,0.6666666666666666
2022-09-07,2,-345.8633298718282,0.0
2022-09-08,5,-798.382398427291,0.0
2022-09-09,2,-255.73614332825616,0.5
2022-09-12,3,-1002.2978542940118,0.0
2022-09-13,5,151.06312055378703,0.2
2022-09-14,2,-366.7049171364478,0.0
2022-09-15,3,1934.8348837631456,0.6666666666666666
2022-09-16,1,-315.6981047188641,0.0
2022-09-19,5,-1505.6791312470893,0.0
2022-09-20,1,239.04817460853872,1.0
2022-09-21,4,34.323169612225485,0.5
2022-09-22,3,832.3762710291663,0.6666666666666666
2022-09-23,1,2063.5162666874085,1.0
2022-09-26,3,-1326.9181040288402,0.0
2022-09-27,3,310.53765035754157,0.6666666666666666
2022-09-28,3,-406.36725932258696,0.3333333333333333
2022-09-29,3,111.53330068815606,0.3333333333333333
2022-09-30,1,479.92290058605704,1.0
2022-10-03,2,-326.77160104243774,0.0
2022-10-04,3,-558.5609168052342,0.0
2022-10-06,2,108.58079486821816,0.5
2022-10-07,2,-186.6879322733705,0.0
2022-10-10,2,-806.4379700753836,0.0
2022-10-11,2,604.8239401296343,0.5
2022-10-12,3,-678.1889415388858,0.0
2022-10-13,3,-2020.6908799090183,0.0
2022-10-14,2,561.7852013731545,0.5
2022-10-17,3,-714.8925582089453,0.0
2022-10-18,5,-1311.7261500937516,0.0
2022-10-19,5,-1698.7027826409997,0.4
2022-10-20,3,-488.6349651639048,0.0
2022-10-21,3,-1221.1648718455258,0.3333333333333333
2022-10-25,2,-504.118797078907,0.5
2022-10-27,6,-724.8042318304286,0.16666666666666666
2022-10-28,2,-508.0608374726464,0.5
2022-10-31,2,-221.57180970220173,0.0
2022-11-01,3,-182.85417489737858,0.3333333333333333
2022-11-02,5,-971.7218638844548,0.2
2022-11-03,4,-1929.4734167309086,0.25
2022-11-04,4,-1765.4823282450068,0.0
2022-11-07,3,-115.7610499019092,0.3333333333333333
2022-11-09,4,484.56898146295003,0.5
2022-11-10,2,-153.12229095961055,0.5
2022-11-11,2,-419.06203329108854,0.0
2022-11-14,4,-1433.5827756687354,0.0
2022-11-15,3,-476.6444901441649,0.0
2022-11-16,5,-1678.5433355375665,0.0
2022-11-17,5,-1501.4866836372385,0.0
2022-11-18,2,85.71875748384494,0.5
2022-11-21,3,-952.1028602247278,0.0
2022-11-22,5,-2292.6788188552655,0.0
2022-11-23,3,-841.447133400163,0.0
2022-11-24,1,-126.61735245409749,0.0
2022-11-25,3,-502.73793946171116,0.0
2022-11-28,3,-1138.2140934630106,0.0
2022-11-29,2,-473.32436874796633,0.5
2022-11-30,2,-217.3173663098729,0.0
2022-12-01,5,-44.32440287821498,0.2
2022-12-02,1,-148.97269746566803,0.0
2022-12-05,2,-36.9542603478929,0.5
2022-12-06,4,-1145.2594437520418,0.0
2022-12-07,6,-842.8077396519841,0.16666666666666666
2022-12-08,4,-571.2600339461211,0.0
2022-12-09,4,-209.45067552750567,0.5
2022-12-12,3,-1652.813830500834,0.3333333333333333
2022-12-13,4,-635.9893337276183,0.0
2022-12-14,2,-199.60636673111765,0.0
2022-12-15,1,896.6551769538448,1.0
2022-12-16,3,-117.45396222537597,0.3333333333333333
2022-12-19,2,-284.84430495095125,0.0
2022-12-20,1,357.1702839923335,1.0
2022-12-21,3,179.62726825780877,0.6666666666666666
2022-12-22,3,1041.419626761767,0.6666666666666666
2022-12-23,1,336.988749843395,1.0
2022-12-26,2,-711.0788644911482,0.0
2022-12-27,2,-428.5593352638862,0.0
2022-12-28,5,-696.0390251049753,0.2
2022-12-29,2,-362.59785125798965,0.0
2022-12-30,4,-283.76419601055477,0.25
2023-01-02,3,-493.2201016758488,0.0
2023-01-03,2,-155.28604418830716,0.5
2023-01-04,3,-299.78610941259535,0.3333333333333333
2023-01-05,2,179.04102288972183,0.5
2023-01-06,4,-201.0344020206535,0.5
2023-01-09,1,69.86794403482223,1.0
2023-01-10,2,512.3341470761094,1.0
2023-01-11,6,-1125.112716539404,0.0
2023-01-12,2,-61.25420135394762,0.5
2023-01-13,2,-287.4141135173211,0.0
2023-01-16,2,136.28826601286653,0.5
2023-01-17,2,-244.91468772113214,0.0
2023-01-18,4,-708.4098721919208,0.0
2023-01-19,5,-549.8513280813859,0.2
2023-01-20,4,-1611.3443572930933,0.0
2023-01-23,3,-195.54149825558625,0.3333333333333333
2023-01-24,5,-576.0659681527992,0.0
2023-01-25,3,667.7792834241666,0.3333333333333333
2023-01-27,1,1722.303709909184,1.0
2023-01-30,3,-586.414069350247,0.3333333333333333
2023-01-31,4,-687.1211260569428,0.0
2023-02-01,3,-166.36488553333152,0.3333333333333333
2023-02-02,4,-1532.6474039543818,0.0
2023-02-03,3,-454.4825775164242,0.0
2023-02-06,4,-287.34099539271244,0.25
2023-02-07,4,-455.4087459533654,0.25
2023-02-08,3,-603.0158338870642,0.0
2023-02-09,2,-292.18387405035986,0.0
2023-02-10,3,-347.41430335713915,0.0
2023-02-13,3,-923.5152939074128,0.3333333333333333
2023-02-14,1,-344.5545661343984,0.0
2023-02-15,3,-430.63934187530276,0.0
2023-02-16,2,-139.79910624444514,0.0
2023-02-17,4,-434.41453209266757,0.25
2023-02-20,2,-1208.3216338054021,0.0
2023-02-21,3,1231.122497838487,0.6666666666666666
2023-02-22,1,-148.33512150679945,0.0
2023-02-23,5,-1933.794426267506,0.0
2023-02-24,4,-251.91617075608778,0.25
2023-02-27,2,-29.25366941065508,0.5
2023-02-28,4,-1095.452360121496,0.25
2023-03-01,3,-1206.482891193493,0.0
2023-03-02,2,-564.4588304485767,0.5
2023-03-03,2,-1056.629889500132,0.0
